Budget%,N_queried,ADE,ADE_reduction%
0.0,0,0.3691016212898673,0.0
5.0,258,0.3507508499873658,4.9717395546442384
10.0,516,0.3314502281785565,10.20082029976832
15.0,775,0.31284791328468514,15.240710081033296
20.0,1033,0.2935303674935833,20.47437600848019
25.0,1292,0.2756671010049481,25.314036811434665
30.0,1550,0.2576461253289837,30.196425464453334
