Round,Drift,ADE_before,ADE_after,ADE_clean,Recovery%,Forgetting%,Update_s
1,Mild (σ=0.05),0.9184325615564982,0.8905764192342758,0.464766567448775,5.856575784151051,4.962293485655503,0.6520867347717285
2,Moderate (σ=0.10),1.3802134027083715,1.4082086582978566,0.4721482867995898,-2.986416822741305,6.629371643153062,0.6432986259460449
3,Severe (σ=0.20),3.906964484850566,3.674878090620041,0.48141069735089936,6.699623600255195,8.72118272157866,0.6377782821655273
